Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	17	e	1	Ground	16	e	1	762.122583514139	0.00609522830826637	1163.98370968126	401.86112616712	6	71.3971924505839	0	R(16)	Excited v=1 17 e - Ground v=0 16 e
LinearMolecule	Excited	18	e	1	Ground	17	e	1	765.061073817335	0.00504074052632749	1217.12459868059	452.063524863259	6.33333333333333	72.1177841840142	0	R(17)	Excited v=1 18 e - Ground v=0 17 e
LinearMolecule	Excited	19	e	1	Ground	18	e	1	767.997840652915	0.00409803387688419	1273.20952141855	505.211680765632	6.66666666666666	72.8530211160541	0	R(18)	Excited v=1 19 e - Ground v=0 18 e
LinearMolecule	Excited	20	e	1	Ground	19	e	1	770.932803875957	0.00327607502454039	1332.23714202391	561.304338147953	7	73.6015898729963	0	R(19)	Excited v=1 20 e - Ground v=0 19 e
LinearMolecule	Excited	21	e	1	Ground	20	e	1	773.865882795099	0.00257592495956906	1394.20605431646	620.340171521363	7.33333333333333	74.3624187210258	0	R(20)	Excited v=1 21 e - Ground v=0 20 e
LinearMolecule	Excited	22	e	1	Ground	21	e	1	776.796996172543	0.00199252728323444	1459.11478180697	682.31778563443	7.66666666666667	75.1346236538223	0	R(21)	Excited v=1 22 e - Ground v=0 21 e
LinearMolecule	Excited	23	e	1	Ground	22	e	1	779.726062224046	0.00151651469012641	1526.9617776972	747.235715473155	8	75.9174682422051	0	R(22)	Excited v=1 23 e - Ground v=0 22 e
LinearMolecule	Excited	24	e	1	Ground	23	e	1	782.652998618929	0.00113587513380229	1597.74542487989	815.092426260962	8.33333333333333	76.710333313821	0	R(23)	Excited v=1 24 e - Ground v=0 23 e
LinearMolecule	Excited	25	e	1	Ground	24	e	1	785.577722480074	0.000837372678867103	1671.46403593878	885.886313458708	8.66666666666667	77.5126937644354	0	R(24)	Excited v=1 25 e - Ground v=0 24 e
LinearMolecule	Excited	26	e	1	Ground	25	e	1	788.500150383921	0.000607669228444709	1748.1158531486	959.615702764677	9	78.3241006170186	0	R(25)	Excited v=1 26 e - Ground v=0 25 e
LinearMolecule	Excited	27	e	1	Ground	26	e	1	791.420198360471	0.000434136620857376	1827.69904847505	1036.27885011458	9.33333333333333	79.1441669928332	0	R(26)	Excited v=1 27 e - Ground v=0 26 e
LinearMolecule	Excited	28	e	1	Ground	27	e	1	794.337781893289	0.000305380987093007	1910.21172357484	1115.87394168156	9.66666666666666	79.9725570336915	0	R(27)	Excited v=1 28 e - Ground v=0 27 e
LinearMolecule	Excited	29	e	1	Ground	28	e	1	797.252815919495	0.000211521993529093	1995.65190979567	1198.39909387618	10	80.8089770751129	0	R(28)	Excited v=1 29 e - Ground v=0 28 e
LinearMolecule	Excited	30	e	1	Ground	29	e	1	800.165214829774	0.000144279638729933	2084.01756817622	1283.85235334644	10.3333333333333	81.6531685537945	0	R(29)	Excited v=1 30 e - Ground v=0 29 e
LinearMolecule	Excited	31	e	1	Ground	30	e	1	803.074892468371	0.0000969226933822342	2175.30658944614	1372.23169697777	10.6666666666667	82.5049022640035	0	R(30)	Excited v=1 31 e - Ground v=0 30 e
LinearMolecule	Excited	32	e	1	Ground	31	e	1	805.981762133087	0.0000641282021853011	2269.51679402611	1463.53503189303	11	83.3639736723629	0	R(31)	Excited v=1 32 e - Ground v=0 31 e
LinearMolecule	Excited	33	e	1	Ground	32	e	1	808.885736575289	0.0000417932092780564	2366.64593202777	1557.76019545248	11.3333333333333	84.2301990698896	0	R(32)	Excited v=1 33 e - Ground v=0 32 e
LinearMolecule	Excited	34	e	1	Ground	33	e	1	811.786727999903	0.0000268301618192598	2466.69168325376	1654.90495525386	11.6666666666667	85.1034123914179	0	R(33)	Excited v=1 34 e - Ground v=0 33 e
LinearMolecule	Excited	35	e	1	Ground	34	e	1	814.684648065414	0.000016967889006933	2569.65165719771	1754.96700913229	12	85.983462570824	0	R(34)	Excited v=1 35 e - Ground v=0 34 e
LinearMolecule	Excited	36	e	1	Ground	35	e	1	817.579407883868	0.0000105716733221429	2675.52339304422	1857.94398516035	12.3333333333333	86.8702113293086	0	R(35)	Excited v=1 36 e - Ground v=0 35 e
LinearMolecule	Excited	37	e	1	Ground	36	e	1	820.470918020873	6.48924375925881E-6	2784.30435966891	1963.83344164803	12.6666666666667	87.763531315916	0	R(36)	Excited v=1 37 e - Ground v=0 36 e
LinearMolecule	Excited	38	e	1	Ground	37	e	1	823.359088495596	3.92464759194886E-6	2895.99195563836	2072.63286714276	13	88.6633045362552	0	R(37)	Excited v=1 38 e - Ground v=0 37 e
LinearMolecule	Excited	39	e	1	Ground	38	e	1	826.243828780764	2.33875189807356E-6	3010.58350921016	2184.3396804294	13.3333333333333	89.5694210183693	0	R(38)	Excited v=1 39 e - Ground v=0 38 e
LinearMolecule	Excited	40	e	1	Ground	39	e	1	829.125047802666	1.3732963078909E-6	3128.07627833288	2298.95123053021	13.6666666666667	90.481777674776	0	R(39)	Excited v=1 40 e - Ground v=0 39 e
LinearMolecule	Excited	41	e	1	Ground	40	e	1	832.002653941152	7.94620555067083E-7	3248.46745064608	2416.46479670493	14	91.4002773276052	0	R(40)	Excited v=1 41 e - Ground v=0 40 e
LinearMolecule	Excited	42	e	1	Ground	41	e	1	834.876555029632	4.53094546331823E-7	3371.75414348031	2536.87758845067	14.3333333333333	92.3248278699854	0	R(41)	Excited v=1 42 e - Ground v=0 41 e
LinearMolecule	Excited	43	e	1	Ground	42	e	1	837.746658355073	2.54606058578011E-7	3497.9334038571	2660.18674550202	14.6666666666667	93.255341541772	0	R(42)	Excited v=1 43 e - Ground v=0 42 e
LinearMolecule	Excited	44	e	1	Ground	43	e	1	840.612870658008	1.40999066743311E-7	3627.00220848898	2786.38933783098	15	94.1917343016442	0	R(43)	Excited v=1 44 e - Ground v=0 43 e
LinearMolecule	Excited	45	e	1	Ground	44	e	1	843.475098132528	7.69568963403124E-8	3758.95746377948	2915.48236564695	15.3333333333333	95.1339252807609	0	R(44)	Excited v=1 45 e - Ground v=0 44 e
LinearMolecule	Excited	46	e	1	Ground	45	e	1	846.333246426283	4.13979046670843E-8	3893.79600582309	3047.4627593968	15.6666666666667	96.0818363057146	0	R(45)	Excited v=1 46 e - Ground v=0 45 e
136	0.666666665164746
