Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	32	e	1	Ground	31	e	1	805.97680682657	0.0000641243810964783	2269.52371782615	1463.54691099958	11	83.3624360761478	0	R(31)	Excited v=1 32 e - Ground v=0 31 e
LinearMolecule	Excited	33	e	1	Ground	32	e	1	808.87994332517	0.0000417902427794539	2366.65436238405	1557.77441905888	11.3333333333333	84.2283893095219	0	R(32)	Excited v=1 33 e - Ground v=0 32 e
LinearMolecule	Excited	34	e	1	Ground	33	e	1	811.780013747952	0.0000268279118723188	2466.70184230455	1654.92182855659	11.6666666666667	85.1013007492579	0	R(33)	Excited v=1 34 e - Ground v=0 33 e
LinearMolecule	Excited	35	e	1	Ground	34	e	1	814.676925942613	0.0000169662201586152	2569.66379059897	1754.98686465636	12	85.9810175687064	0	R(34)	Excited v=1 35 e - Ground v=0 34 e
LinearMolecule	Excited	36	e	1	Ground	35	e	1	817.570587311353	0.0000105704617564457	2675.53777179563	1857.96718448428	12.3333333333333	86.8673997244995	0	R(35)	Excited v=1 36 e - Ground v=0 35 e
LinearMolecule	Excited	37	e	1	Ground	36	e	1	820.460904829191	6.48838222443403E-6	2784.32128203843	1963.86037720924	12.6666666666667	87.7603181039027	0	R(36)	Excited v=1 37 e - Ground v=0 36 e
LinearMolecule	Excited	38	e	1	Ground	37	e	1	823.347785062737	3.92404716723638E-6	2896.01174918832	2072.66396412558	13	88.6596529607812	0	R(37)	Excited v=1 38 e - Ground v=0 37 e
LinearMolecule	Excited	39	e	1	Ground	38	e	1	826.231134189411	2.33834156983817E-6	3010.60653292756	2184.37539873815	13.3333333333333	89.5652925891279	0	R(38)	Excited v=1 39 e - Ground v=0 38 e
LinearMolecule	Excited	40	e	1	Ground	39	e	1	829.11085801713	1.37302120898987E-6	3128.10292486683	2298.9920668497	13.6666666666667	90.477132193191	0	R(39)	Excited v=1 40 e - Ground v=0 39 e
LinearMolecule	Excited	41	e	1	Ground	40	e	1	831.98686200444	7.94439544463514E-7	3248.4981486551	2416.51128665066	14	91.3950729211338	0	R(40)	Excited v=1 41 e - Ground v=0 40 e
LinearMolecule	Excited	42	e	1	Ground	41	e	1	834.859051281116	4.52977615297037E-7	3371.78936009238	2536.93030881126	14.3333333333333	92.3190210353889	0	R(41)	Excited v=1 42 e - Ground v=0 41 e
LinearMolecule	Excited	43	e	1	Ground	42	e	1	837.727330669201	2.54531875950616E-7	3497.97364724524	2660.24631657604	14.6666666666667	93.2488871978028	0	R(42)	Excited v=1 43 e - Ground v=0 42 e
LinearMolecule	Excited	44	e	1	Ground	43	e	1	840.59160470452	1.40952834703123E-7	3627.04803056522	2786.4564258607	15	94.1845858516139	0	R(43)	Excited v=1 44 e - Ground v=0 43 e
LinearMolecule	Excited	45	e	1	Ground	44	e	1	843.451777658629	7.69285848962518E-8	3759.00946300993	2915.5576853513	15.3333333333333	95.1260346854569	0	R(44)	Excited v=1 45 e - Ground v=0 44 e
LinearMolecule	Excited	46	e	1	Ground	45	e	1	846.307753561245	4.13808651052908E-8	3893.85483016709	3047.54707660585	15.6666666666667	96.0731541671474	0	R(45)	Excited v=1 46 e - Ground v=0 45 e
136	0.666666665165791
